,TOTAL_RECORDS,TOTAL_SUM,MEAN,STD_DEV,MEDIAN,MAX,MIN,ZERO_RECORDS,NON_ZERO_RECORDS,NA_RECORDS,NULL_RECORDS,Segment 1,Segment 2,Segment 3,Segment 4,Segment 5,Segment 6,Segment 7,Segment 8,Segment 9,Segment 10,COLUMN_NAME
Arbitrage Present,37938.0,28386.0,0.7482207812747114,0.4340407924539931,1.0,1.0,0.0,9552.0,28386.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Tran2Unique
Arbitrage Not Present,1970054.0,112444.0,0.05707660805236811,0.2319890001359811,0.0,1.0,0.0,1857610.0,112444.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Tran2Unique
Population,2007992.0,-452086126.91082186,-225.14339046710438,171387.4843188611,-30.557719,19999999.981373,-19549576.158741,72900.0,1935092.0,0.0,0.0,-19549576.158741,-55812.816457,-7331.340372,-2303.45,-697.816731,-98.0,350.626855,1600.0,5961.698595,60495.687594,p1.t0_amount_unique
Arbitrage Present,37938.0,-1269862356.501859,-33472.04271447781,622704.0212445696,-0.0,10000000.0,-13365161.517147,18018.0,19920.0,0.0,0.0,-13365161.517147,-636416.64276,-97943.034949,-4873.891594,-4866.741505,-4859.244754,-4852.233464,10879.807111,42221.348899,344867.295138,p1.t0_amount_unique
Arbitrage Not Present,1970054.0,817776229.5910369,415.1034588854097,149835.22198731807,-40.0,19999999.981373,-19549576.158741,54882.0,1915172.0,0.0,0.0,-19549576.158741,-54220.266178,-7271.100769,-2222.144545,-670.172601,-92.81,357.716857,1595.0,5813.404242,59625.0,p1.t0_amount_unique
Population,2007992.0,-801633534.0225163,-399.22147798522917,74521.15419738469,0.0,9999999.990686,-8562524.041058,1867162.0,140830.0,0.0,0.0,-8562524.041058,-79656.162696,-17521.312313,-2257.936197,-68.2,1000.0,4855.832961,4872.020898,30860.127914,83828.125,p0.t0_amount_unique
Arbitrage Present,37938.0,-1050572073.950226,-27691.814907222993,452023.80214284937,4856.515032,9999999.990686,-6362244.234206,9552.0,28386.0,0.0,0.0,-6362244.234206,-14899.52929,4852.233464,4855.49198,4858.732756,4861.970014,4865.377492,4868.617958,4871.850888,4875.082598,p0.t0_amount_unique
Arbitrage Not Present,1970054.0,248938539.9277099,126.36127736991469,41364.97549033945,0.0,8222253.521076,-8562524.041058,1857610.0,112444.0,0.0,0.0,-8562524.041058,-88374.805259,-35747.506777,-4370.886289,-653.039978,67.5,1250.0,8000.0,47002.567407,94851.393183,p0.t0_amount_unique
Population,2007992.0,-144994.0,-0.072208455013765,0.9790206794752678,-1.0,1.0,-1.0,72900.0,1935092.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,BUY_SELL_BINARY1
Arbitrage Present,37938.0,-5914.0,-0.15588591913121408,0.7076581060822631,0.0,1.0,-1.0,18018.0,19920.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,BUY_SELL_BINARY1
Arbitrage Not Present,1970054.0,-139080.0,-0.07059704962402046,0.983442132455766,-1.0,1.0,-1.0,54882.0,1915172.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,BUY_SELL_BINARY1
